grupo,variable,descripcion,unidad,relevancia,justificacion
CRÉDITO_BANCARIO,tloans,Préstamos totales del sector bancario / PIB,fracción,ALTA,"Préstamos totales y préstamos hipotecarios del sector bancario, ambos normalizados por PIB. El crecimiento del crédito bancario es, según Schularick & Taylor (2012), el mejor predictor individual de crisis bancarias sistémicas en una muestra de 150 años. Un auge crediticio sostenido por encima de la"
CRÉDITO_BANCARIO,tmort,Préstamos hipotecarios totales / PIB,fracción,ALTA,"Préstamos totales y préstamos hipotecarios del sector bancario, ambos normalizados por PIB. El crecimiento del crédito bancario es, según Schularick & Taylor (2012), el mejor predictor individual de crisis bancarias sistémicas en una muestra de 150 años. Un auge crediticio sostenido por encima de la"
CRÉDITO_BANCARIO,tloans_gap,Brecha crédito/PIB respecto a tendencia HP (λ=400) — indicador macroprudencial BIS,pp. de PIB,ALTA,"Préstamos totales y préstamos hipotecarios del sector bancario, ambos normalizados por PIB. El crecimiento del crédito bancario es, según Schularick & Taylor (2012), el mejor predictor individual de crisis bancarias sistémicas en una muestra de 150 años. Un auge crediticio sostenido por encima de la"
CRÉDITO_BANCARIO,tloans_growth,Tasa de crecimiento anual del crédito bancario total/PIB,fracción,ALTA,"Préstamos totales y préstamos hipotecarios del sector bancario, ambos normalizados por PIB. El crecimiento del crédito bancario es, según Schularick & Taylor (2012), el mejor predictor individual de crisis bancarias sistémicas en una muestra de 150 años. Un auge crediticio sostenido por encima de la"
ESTRUCTURA_BANCARIA,lev,Apalancamiento bancario (activos/fondos propios),ratio,ALTA,Indicadores de la fragilidad estructural del balance bancario. El apalancamiento (lev) captura el riesgo de insolvencia ante shocks de valoración de activos. La ratio préstamos/depósitos (ltd) señala la dependencia de financiación mayorista: cuando supera 1 el banco financia crédito con deuda de mer
ESTRUCTURA_BANCARIA,ltd,Ratio préstamos/depósitos,ratio,ALTA,Indicadores de la fragilidad estructural del balance bancario. El apalancamiento (lev) captura el riesgo de insolvencia ante shocks de valoración de activos. La ratio préstamos/depósitos (ltd) señala la dependencia de financiación mayorista: cuando supera 1 el banco financia crédito con deuda de mer
ESTRUCTURA_BANCARIA,noncore,Pasivos no-depósito del banco / activos,fracción,ALTA,Indicadores de la fragilidad estructural del balance bancario. El apalancamiento (lev) captura el riesgo de insolvencia ante shocks de valoración de activos. La ratio préstamos/depósitos (ltd) señala la dependencia de financiación mayorista: cuando supera 1 el banco financia crédito con deuda de mer
PRECIOS_ACTIVOS,hpnom,Índice de precios nominales de vivienda,índice,ALTA,Precios nominales de vivienda y plusvalías anuales del mercado inmobiliario y bursátil. Borio & Lowe (2002) documentan que la combinación de auge crediticio y auge de precios de activos (especialmente inmobiliarios) es el predictor más robusto de crisis bancarias. La caída brusca de estos precios pu
PRECIOS_ACTIVOS,housing_capgain,Plusvalía inmobiliaria anual,fracción,ALTA,Precios nominales de vivienda y plusvalías anuales del mercado inmobiliario y bursátil. Borio & Lowe (2002) documentan que la combinación de auge crediticio y auge de precios de activos (especialmente inmobiliarios) es el predictor más robusto de crisis bancarias. La caída brusca de estos precios pu
PRECIOS_ACTIVOS,eq_capgain,Plusvalía bursátil anual,fracción,MEDIA,Precios nominales de vivienda y plusvalías anuales del mercado inmobiliario y bursátil. Borio & Lowe (2002) documentan que la combinación de auge crediticio y auge de precios de activos (especialmente inmobiliarios) es el predictor más robusto de crisis bancarias. La caída brusca de estos precios pu
PRECIOS_ACTIVOS,hpnom_gap,Brecha precios nominales vivienda respecto a tendencia HP,pp.,ALTA,Precios nominales de vivienda y plusvalías anuales del mercado inmobiliario y bursátil. Borio & Lowe (2002) documentan que la combinación de auge crediticio y auge de precios de activos (especialmente inmobiliarios) es el predictor más robusto de crisis bancarias. La caída brusca de estos precios pu
TIPOS_INTERÉS,stir,Tipo de interés a corto plazo (nominal),porcentaje,ALTA,"Tipos de interés a corto plazo (mercado monetario), largo plazo (bono soberano) y letras del Tesoro. La pendiente de la curva de tipos (diferencial largo-corto) es un indicador adelantado del ciclo económico y financiero. Tipos reales muy bajos prolongados alimentan la toma de riesgo excesiva. El di"
TIPOS_INTERÉS,ltrate,Tipo de interés a largo plazo (nominal),porcentaje,ALTA,"Tipos de interés a corto plazo (mercado monetario), largo plazo (bono soberano) y letras del Tesoro. La pendiente de la curva de tipos (diferencial largo-corto) es un indicador adelantado del ciclo económico y financiero. Tipos reales muy bajos prolongados alimentan la toma de riesgo excesiva. El di"
TIPOS_INTERÉS,bill_rate,Tipo de interés de letras del tesoro,fracción,ALTA,"Tipos de interés a corto plazo (mercado monetario), largo plazo (bono soberano) y letras del Tesoro. La pendiente de la curva de tipos (diferencial largo-corto) es un indicador adelantado del ciclo económico y financiero. Tipos reales muy bajos prolongados alimentan la toma de riesgo excesiva. El di"
TIPOS_INTERÉS,term_spread,Diferencial tipos largo plazo – corto plazo,pp.,ALTA,"Tipos de interés a corto plazo (mercado monetario), largo plazo (bono soberano) y letras del Tesoro. La pendiente de la curva de tipos (diferencial largo-corto) es un indicador adelantado del ciclo económico y financiero. Tipos reales muy bajos prolongados alimentan la toma de riesgo excesiva. El di"
MACROECONOMÍA,gdp,PIB nominal total,moneda local,ALTA,Variables macroeconómicas fundamentales. La ratio inversión/PIB (iy) captura booms de acumulación de capital a menudo financiados con crédito. El saldo de cuenta corriente (ca) señala vulnerabilidades externas: déficits persistentes financiados con deuda exterior preceden muchas crisis. La inflación
MACROECONOMÍA,iy,Inversión / PIB (ratio),fracción,ALTA,Variables macroeconómicas fundamentales. La ratio inversión/PIB (iy) captura booms de acumulación de capital a menudo financiados con crédito. El saldo de cuenta corriente (ca) señala vulnerabilidades externas: déficits persistentes financiados con deuda exterior preceden muchas crisis. La inflación
MACROECONOMÍA,ca,Saldo cuenta corriente / PIB,fracción,ALTA,Variables macroeconómicas fundamentales. La ratio inversión/PIB (iy) captura booms de acumulación de capital a menudo financiados con crédito. El saldo de cuenta corriente (ca) señala vulnerabilidades externas: déficits persistentes financiados con deuda exterior preceden muchas crisis. La inflación
MACROECONOMÍA,cpi,Índice de precios al consumo,índice,MEDIA,Variables macroeconómicas fundamentales. La ratio inversión/PIB (iy) captura booms de acumulación de capital a menudo financiados con crédito. El saldo de cuenta corriente (ca) señala vulnerabilidades externas: déficits persistentes financiados con deuda exterior preceden muchas crisis. La inflación
MACROECONOMÍA,debtgdp,Deuda pública bruta / PIB,fracción,ALTA,Variables macroeconómicas fundamentales. La ratio inversión/PIB (iy) captura booms de acumulación de capital a menudo financiados con crédito. El saldo de cuenta corriente (ca) señala vulnerabilidades externas: déficits persistentes financiados con deuda exterior preceden muchas crisis. La inflación
MACROECONOMÍA,money,M2/M3 — dinero amplio / PIB,fracción,ALTA,Variables macroeconómicas fundamentales. La ratio inversión/PIB (iy) captura booms de acumulación de capital a menudo financiados con crédito. El saldo de cuenta corriente (ca) señala vulnerabilidades externas: déficits persistentes financiados con deuda exterior preceden muchas crisis. La inflación
RETORNOS_FINANCIEROS,bond_rate,Tipo de interés (yield) del bono soberano,porcentaje,ALTA,"Retornos realizados de bonos soberanos, activos inmobiliarios y renta variable. Retornos inmobiliarios muy elevados sostenidos son señal de burbuja; su colapso desencadena crisis bancarias a través del canal colateral. El yield del bono soberano incorpora la percepción de riesgo país."
RETORNOS_FINANCIEROS,housing_tr,Retorno total del mercado inmobiliario,fracción,ALTA,"Retornos realizados de bonos soberanos, activos inmobiliarios y renta variable. Retornos inmobiliarios muy elevados sostenidos son señal de burbuja; su colapso desencadena crisis bancarias a través del canal colateral. El yield del bono soberano incorpora la percepción de riesgo país."
RETORNOS_FINANCIEROS,eq_tr,Retorno total de renta variable,fracción,MEDIA,"Retornos realizados de bonos soberanos, activos inmobiliarios y renta variable. Retornos inmobiliarios muy elevados sostenidos son señal de burbuja; su colapso desencadena crisis bancarias a través del canal colateral. El yield del bono soberano incorpora la percepción de riesgo país."
